ITERACION 1
|ID  |X              |Y              |C1             |C2             |C3             |MIN            |
|43  |-0.857100      |-9.523100      |11.136052      |6.866065       |8.275751       |6.866065       |
|44  |5.864500       |-8.925800      |5.152967       |10.662761      |15.008520      |5.152967       |
|45  |5.187500       |-8.818000      |5.769340       |10.044117      |14.354312      |5.769340       |
|46  |-0.909500      |-8.148900      |11.569277      |5.557100       |8.578168       |5.557100       |
|47  |6.713100       |-8.134200      |5.074261       |10.986552      |15.972299      |5.074261       |
|48  |9.933500       |-9.287600      |2.713215       |14.380867      |19.010779      |2.713215       |
|49  |6.162800       |-7.571500      |5.859669       |10.239898      |15.545582      |5.859669       |
|50  |6.315400       |-9.473200      |4.467773       |11.343676      |15.391316      |4.467773       |
|51  |-7.874500      |-1.283000      |20.841109      |5.168060       |9.781965       |5.168060       |
|52  |-6.874700      |-2.833600      |19.203604      |3.878271       |8.438423       |3.878271       |
|53  |-6.676500      |-2.734400      |19.077657      |3.686081       |8.585965       |3.686081       |
|54  |-2.002900      |-7.940900      |12.670671      |5.040506       |7.636590       |5.040506       |
|55  |7.647100       |-7.450500      |5.121922       |11.539831      |17.021307      |5.121922       |
|56  |7.362000       |-8.117200      |4.694164       |11.556677      |16.614018      |4.694164       |
|57  |-6.897100      |-2.551600      |19.359345      |3.922812       |8.706185       |3.922812       |
|58  |-0.443700      |-9.199900      |10.812559      |6.706223       |8.743605       |6.706223       |
|59  |9.291000       |-8.984000      |3.098215       |13.670294      |18.401765      |3.098215       |
|60  |5.910800       |-8.677200      |5.269019       |10.565650      |15.090638      |5.269019       |
|61  |-7.677200      |-3.577600      |19.581119      |4.712730       |7.539352       |4.712730       |
|62  |-0.959600      |-9.009400      |11.360305      |6.346347       |8.283147       |6.346347       |
|63  |6.429100       |-10.203900     |3.997162       |11.866090      |15.449625      |3.997162       |
|64  |-6.581000      |-3.469700      |18.646597      |3.611673       |7.909297       |3.611673       |
|65  |-7.838300      |-2.170900      |20.367036      |4.908824       |8.905198       |4.908824       |
|66  |-7.123100      |-1.921400      |19.869040      |4.261846       |9.270584       |4.261846       |
|67  |-7.852000      |-3.450900      |19.793459      |4.872906       |7.635890       |4.872906       |
|68  |-0.627900      |-9.812300      |10.850728      |7.213480       |8.455926       |7.213480       |
|69  |5.386700       |-6.649800      |7.064501       |9.146463       |15.030016      |7.064501       |
|70  |7.660400       |-6.311700      |6.150649       |11.162951      |17.307486      |6.150649       |
|71  |-7.909800      |-3.352000      |19.888410      |4.922402       |7.725312       |4.922402       |
|72  |-8.651500      |-4.731900      |20.017586      |5.910916       |6.277781       |5.910916       |
|73  |-8.026900      |-3.227700      |20.048002      |5.032054       |7.832980       |5.032054       |
|74  |-1.473600      |-9.195700      |11.811333      |6.380956       |7.739651       |6.380956       |
|75  |-0.698700      |-9.955900      |10.892223      |7.326700       |8.366703       |7.326700       |
|76  |-6.995200      |-4.866100      |18.431748      |4.409530       |6.453213       |4.409530       |
|77  |6.876400       |-8.667700      |4.567395       |11.387102      |16.046797      |4.567395       |
|78  |-0.740800      |-8.796500      |11.208354      |6.221205       |8.548087       |6.221205       |
|79  |6.887500       |-7.571800      |5.412634       |10.893301      |16.253160      |5.412634       |
|80  |-1.769200      |-8.778000      |12.202268      |5.907635       |7.564506       |5.907635       |
|81  |-6.893200      |-3.381500      |18.964671      |3.911847       |7.904439       |3.911847       |
|82  |-7.566000      |-3.383900      |19.565315      |4.582110       |7.749925       |4.582110       |
|83  |-8.416200      |-4.395700      |19.924402      |5.593139       |6.630053       |5.593139       |
|84  |-6.619400      |-2.863600      |18.965186      |3.621969       |8.477515       |3.621969       |
|85  |-2.422100      |-8.648100      |12.866383      |5.677588       |6.985714       |5.677588       |
|86  |-0.271000      |-10.402500     |10.394491      |7.889515       |8.749426       |7.889515       |
|87  |-5.777400      |-3.193300      |18.068877      |2.784118       |8.445692       |2.784118       |
|88  |5.504000       |-8.837100      |5.497086       |10.314541      |14.664384      |5.497086       |
|89  |-1.366600      |-7.164900      |12.352238      |4.473744       |8.542645       |4.473744       |
|90  |7.599000       |-6.967100      |5.576279       |11.317097      |17.081893      |5.576279       |
|91  |-7.787700      |-1.670800      |20.569265      |4.968787       |9.407638       |4.968787       |
|92  |-6.604700      |-5.177300      |17.951749      |4.211235       |6.296134       |4.211235       |
|93  |-0.434900      |-11.570700     |10.443727      |8.946320       |8.584092       |8.584092       |
|94  |-0.862200      |-8.381600      |11.449026      |5.790666       |8.548673       |5.790666       |
|95  |-0.684900      |-10.589700     |10.777571      |7.934938       |8.325217       |7.934938       |
|96  |-2.141300      |-10.272600     |12.263567      |7.323119       |6.897164       |6.897164       |
|97  |-0.470900      |-8.946400      |10.907072      |6.461890       |8.772846       |6.461890       |
|98  |-1.976000      |-10.299300     |12.096155      |7.370777       |7.058864       |7.058864       |
|99  |5.115100       |-6.774700      |7.153042       |8.950040       |14.733947      |7.153042       |
|100 |-2.111800      |-8.994300      |12.479180      |6.059747       |7.174269       |6.059747       |

|C1  |10.000000      |-12.000000     |6.427100       |-7.966703      |
|C2  |-3.000000      |-3.000000      |-4.446550      |-5.938921      |
|C3  |-9.000000      |-11.000000     |-1.734440      |-10.691760     |

ITERACION 2
|ID  |X              |Y              |C1             |C2             |C3             |MIN            |
|1   |5.257800       |-8.108500      |1.177866       |9.943917       |7.454170       |1.177866       |
|2   |7.630600       |-4.265500      |3.891955       |12.192534      |11.357852      |3.891955       |
|3   |-8.007100      |-2.526100      |15.425508      |4.932024       |10.296809      |4.932024       |
|4   |-0.095100      |-9.780700      |6.769762       |5.804686       |1.875491       |1.875491       |
|5   |4.665000       |-7.307200      |1.881473       |9.213714       |7.239342       |1.881473       |
|6   |4.655100       |-9.015200      |2.058963       |9.607472       |6.605836       |2.058963       |
|7   |-7.543100      |-4.265300      |14.452227      |3.519890       |8.662558       |3.519890       |
|8   |-0.857300      |-9.621200      |7.469929       |5.142168       |1.384006       |1.384006       |
|9   |5.611100       |-6.690300      |1.514946       |10.085678      |8.364726       |1.514946       |
|10  |-6.723200      |-2.446600      |14.261905      |4.168866       |9.636928       |4.168866       |
|11  |-6.752600      |-2.633200      |14.217973      |4.030590       |9.493278       |4.030590       |
|12  |-2.294800      |-10.202000     |9.003782       |4.775340       |0.744223       |0.744223       |
|13  |-7.022500      |-4.385800      |13.918139      |3.007940       |8.229745       |3.007940       |
|14  |6.300300       |-7.632100      |0.357823       |10.879414      |8.597591       |0.357823       |
|15  |-5.991800      |-4.272400      |12.956734      |2.272683       |7.702811       |2.272683       |
|16  |-6.976100      |-2.575800      |14.446716      |4.208231       |9.661460       |4.208231       |
|17  |5.180600       |-8.937300      |1.579817       |10.083268      |7.134137       |1.579817       |
|18  |0.848300       |-9.928900      |5.913817       |6.629885       |2.693047       |2.693047       |
|19  |0.035600       |-9.184700      |6.506519       |5.533963       |2.324709       |2.324709       |
|20  |-8.622900      |-3.231400      |15.777376      |4.977205       |10.154204      |4.977205       |
|21  |-1.397300      |-7.293300      |7.853325       |3.336505       |3.415142       |3.336505       |
|22  |5.847000       |-7.822700      |0.597706       |10.464502      |8.106154       |0.597706       |
|23  |6.146400       |-7.904700      |0.287466       |10.773805      |8.359147       |0.287466       |
|24  |-0.754000      |-7.498000      |7.196380       |4.008198       |3.340863       |3.340863       |
|25  |0.612500       |-10.587200     |6.377819       |6.870261       |2.349268       |2.349268       |
|26  |-7.058200      |-3.061700      |14.349647      |3.885758       |9.303775       |3.885758       |
|27  |-0.555300      |-10.701700     |7.498941       |6.150276       |1.179182       |1.179182       |
|28  |-9.281200      |-4.403100      |16.107450      |5.072730       |9.823484       |5.072730       |
|29  |6.369700       |-8.089000      |0.135097       |11.027878      |8.511841       |0.135097       |
|30  |7.490400       |-9.082800      |1.541519       |12.344017      |9.364103       |1.541519       |
|31  |5.830100       |-7.927400      |0.598292       |10.467262      |8.053816       |0.598292       |
|32  |-8.196400      |-2.552900      |15.593461      |5.052377       |10.392207      |5.052377       |
|33  |-7.898900      |-3.284800      |15.071645      |4.354662       |9.636577       |4.354662       |
|34  |-7.395200      |-3.444500      |14.543256      |3.862211       |9.196031       |3.862211       |
|35  |-1.077500      |-9.528700      |7.665433       |4.923110       |1.335769       |1.335769       |
|36  |-1.825200      |-11.114200     |8.832168       |5.801292       |0.432080       |0.432080       |
|37  |0.543200       |-10.157300     |6.278455       |6.533937       |2.339507       |2.339507       |
|38  |-1.182300      |-9.840200      |7.836642       |5.086778       |1.014896       |1.014896       |
|39  |4.386900       |-7.979200      |2.040238       |9.066012       |6.695430       |2.040238       |
|40  |7.802000       |-6.495800      |2.013431       |12.261203      |10.418722      |2.013431       |
|41  |7.075400       |-8.220500      |0.696208       |11.745677      |9.149886       |0.696208       |
|42  |-9.022800      |-3.282600      |16.144356      |5.291324       |10.393067      |5.291324       |
|43  |-0.857100      |-9.523100      |7.448620       |5.072523       |1.461332       |1.461332       |
|44  |5.864500       |-8.925800      |1.111929       |10.734952      |7.801442       |1.111929       |
|45  |5.187500       |-8.818000      |1.503767       |10.055049      |7.171069       |1.503767       |
|46  |-0.909500      |-8.148900      |7.338862       |4.170699       |2.673324       |2.673324       |
|47  |6.713100       |-8.134200      |0.331438       |11.373524      |8.826214       |0.331438       |
|48  |9.933500       |-9.287600      |3.746947       |14.764806      |11.752127      |3.746947       |
|49  |6.162800       |-7.571500      |0.475437       |10.734227      |8.491315       |0.475437       |
|50  |6.315400       |-9.473200      |1.510632       |11.327431      |8.141549       |1.510632       |
|51  |-7.874500      |-1.283000      |15.786312      |5.781733       |11.234995      |5.781733       |
|52  |-6.874700      |-2.833600      |14.257862      |3.941945       |9.390045       |3.941945       |
|53  |-6.676500      |-2.734400      |14.109618      |3.904053       |9.367152       |3.904053       |
|54  |-2.002900      |-7.940900      |8.430039       |3.159010       |2.763929       |2.763929       |
|55  |7.647100       |-7.450500      |1.324713       |12.187750      |9.925677       |1.324713       |
|56  |7.362000       |-8.117200      |0.946936       |12.007779      |9.453760       |0.946936       |
|57  |-6.897100      |-2.551600      |14.382547      |4.180806       |9.639256       |4.180806       |
|58  |-0.443700      |-9.199900      |6.980592       |5.163022       |1.972728       |1.972728       |
|59  |9.291000       |-8.984000      |3.039213       |14.070991      |11.156916      |3.039213       |
|60  |5.910800       |-8.677200      |0.878278       |10.713210      |7.906209       |0.878278       |
|61  |-7.677200      |-3.577600      |14.771442      |4.001617       |9.269718       |4.001617       |
|62  |-0.959600      |-9.009400      |7.459930       |4.646145       |1.852218       |1.852218       |
|63  |6.429100       |-10.203900     |2.237198       |11.682029      |8.178104       |2.237198       |
|64  |-6.581000      |-3.469700      |13.763492      |3.263883       |8.697545       |3.263883       |
|65  |-7.838300      |-2.170900      |15.397824      |5.069709       |10.481515      |5.069709       |
|66  |-7.123100      |-1.921400      |14.837574      |4.827463       |10.293535      |4.827463       |
|67  |-7.852000      |-3.450900      |14.976154      |4.217504       |9.479166       |4.217504       |
|68  |-0.627900      |-9.812300      |7.292411       |5.439224       |1.413464       |1.413464       |
|69  |5.386700       |-6.649800      |1.678293       |9.858912       |8.188289       |1.678293       |
|70  |7.660400       |-6.311700      |2.063992       |12.112688      |10.365710      |2.063992       |
|71  |-7.909800      |-3.352000      |15.061281      |4.322761       |9.592036       |4.322761       |
|72  |-8.651500      |-4.731900      |15.421677      |4.374758       |9.130479       |4.374758       |
|73  |-8.026900      |-3.227700      |15.211057      |4.491061       |9.762543       |4.491061       |
|74  |-1.473600      |-9.195700      |7.995717       |4.409653       |1.518629       |1.518629       |
|75  |-0.698700      |-9.955900      |7.398238       |5.493860       |1.270530       |1.270530       |
|76  |-6.995200      |-4.866100      |13.775771      |2.765242       |7.849453       |2.765242       |
|77  |6.876400       |-8.667700      |0.832627       |11.647121      |8.845529       |0.832627       |
|78  |-0.740800      |-8.796500      |7.215771       |4.679566       |2.139937       |2.139937       |
|79  |6.887500       |-7.571800      |0.606561       |11.451069      |9.169078       |0.606561       |
|80  |-1.769200      |-8.778000      |8.236355       |3.902380       |1.914076       |1.914076       |
|81  |-6.893200      |-3.381500      |14.087387      |3.539279       |8.947218       |3.539279       |
|82  |-7.566000      |-3.383900      |14.724433      |4.032257       |9.349434       |4.032257       |
|83  |-8.416200      |-4.395700      |15.266814      |4.259067       |9.180756       |4.259067       |
|84  |-6.619400      |-2.863600      |14.009026      |3.765485       |9.227292       |3.765485       |
|85  |-2.422100      |-8.648100      |8.875395       |3.382018       |2.156252       |2.156252       |
|86  |-0.271000      |-10.402500     |7.127247       |6.112181       |1.491753       |1.491753       |
|87  |-5.777400      |-3.193300      |13.104778      |3.051163       |8.518945       |3.051163       |
|88  |5.504000       |-8.837100      |1.268741       |10.364019      |7.472267       |1.268741       |
|89  |-1.366600      |-7.164900      |7.834836       |3.314984       |3.545990       |3.314984       |
|90  |7.599000       |-6.967100      |1.540310       |12.089352      |10.049189      |1.540310       |
|91  |-7.787700      |-1.670800      |15.546670      |5.420345       |10.863686      |5.420345       |
|92  |-6.604700      |-5.177300      |13.326987      |2.288597       |7.357221       |2.288597       |
|93  |-0.434900      |-11.570700     |7.750860       |6.914497       |1.568866       |1.568866       |
|94  |-0.862200      |-8.381600      |7.301098       |4.337539       |2.469340       |2.469340       |
|95  |-0.684900      |-10.589700     |7.580281       |5.981618       |1.054491       |1.054491       |
|96  |-2.141300      |-10.272600     |8.873254       |4.908661       |0.584149       |0.584149       |
|97  |-0.470900      |-8.946400      |6.967224       |4.985050       |2.154719       |2.154719       |
|98  |-1.976000      |-10.299300     |8.720843       |5.011639       |0.460843       |0.460843       |
|99  |5.115100       |-6.774700      |1.772629       |9.598108       |7.890473       |1.772629       |
|100 |-2.111800      |-8.994300      |8.600510       |3.845309       |1.738899       |1.738899       |

|C1  |6.427100       |-7.966703      |6.427100       |-7.966703      |
|C2  |-4.446550      |-5.938921      |-7.108286      |-3.473925      |
|C3  |-1.734440      |-10.691760     |-0.918065      |-9.568084      |

ITERACION 3
|ID  |X              |Y              |C1             |C2             |C3             |MIN            |
|1   |5.257800       |-8.108500      |1.177866       |13.206035      |6.345998       |1.177866       |
|2   |7.630600       |-4.265500      |3.891955       |14.760127      |10.059675      |3.891955       |
|3   |-8.007100      |-2.526100      |15.425508      |1.306231       |9.992195       |1.306231       |
|4   |-0.095100      |-9.780700      |6.769762       |9.431871       |0.849986       |0.849986       |
|5   |4.665000       |-7.307200      |1.881473       |12.381610      |6.023471       |1.881473       |
|6   |4.655100       |-9.015200      |2.058963       |13.003191      |5.600522       |2.058963       |
|7   |-7.543100      |-4.265300      |14.452227      |0.902960       |8.485907       |0.902960       |
|8   |-0.857300      |-9.621200      |7.469929       |8.767201       |0.080707       |0.080707       |
|9   |5.611100       |-6.690300      |1.514946       |13.119750      |7.135239       |1.514946       |
|10  |-6.723200      |-2.446600      |14.261905      |1.097127       |9.187771       |1.097127       |
|11  |-6.752600      |-2.633200      |14.217973      |0.912870       |9.062804       |0.912870       |
|12  |-2.294800      |-10.202000     |9.003782       |8.272644       |1.515668       |1.515668       |
|13  |-7.022500      |-4.385800      |13.918139      |0.915901       |8.007509       |0.915901       |
|14  |6.300300       |-7.632100      |0.357823       |14.038540      |7.473474       |0.357823       |
|15  |-5.991800      |-4.272400      |12.956734      |1.372627       |7.333966       |1.372627       |
|16  |-6.976100      |-2.575800      |14.446716      |0.907800       |9.251585       |0.907800       |
|17  |5.180600       |-8.937300      |1.579817       |13.448613      |6.131199       |1.579817       |
|18  |0.848300       |-9.928900      |5.913817       |10.245680      |1.802840       |1.802840       |
|19  |0.035600       |-9.184700      |6.506519       |9.145931       |1.027842       |1.027842       |
|20  |-8.622900      |-3.231400      |15.777376      |1.533908       |9.975874       |1.533908       |
|21  |-1.397300      |-7.293300      |7.853325       |6.870443       |2.324717       |2.324717       |
|22  |5.847000       |-7.822700      |0.597706       |13.665697      |6.986592       |0.597706       |
|23  |6.146400       |-7.904700      |0.287466       |13.975638      |7.257651       |0.287466       |
|24  |-0.754000      |-7.498000      |7.196380       |7.521312       |2.076575       |2.076575       |
|25  |0.612500       |-10.587200     |6.377819       |10.498058      |1.838811       |1.838811       |
|26  |-7.058200      |-3.061700      |14.349647      |0.415257       |8.946189       |0.415257       |
|27  |-0.555300      |-10.701700     |7.498941       |9.756145       |1.190245       |1.190245       |
|28  |-9.281200      |-4.403100      |16.107450      |2.363244       |9.829501       |2.363244       |
|29  |6.369700       |-8.089000      |0.135097       |14.246229      |7.436343       |0.135097       |
|30  |7.490400       |-9.082800      |1.541519       |15.639089      |8.422457       |1.541519       |
|31  |5.830100       |-7.927400      |0.598292       |13.683394      |6.944751       |0.598292       |
|32  |-8.196400      |-2.552900      |15.593461      |1.425580       |10.108757      |1.425580       |
|33  |-7.898900      |-3.284800      |15.071645      |0.812920       |9.392109       |0.812920       |
|34  |-7.395200      |-3.444500      |14.543256      |0.288419       |8.913561       |0.288419       |
|35  |-1.077500      |-9.528700      |7.665433       |8.545799       |0.164228       |0.164228       |
|36  |-1.825200      |-11.114200     |8.832168       |9.288961       |1.792587       |1.792587       |
|37  |0.543200       |-10.157300     |6.278455       |10.159367      |1.575585       |1.575585       |
|38  |-1.182300      |-9.840200      |7.836642       |8.697515       |0.379299       |0.379299       |
|39  |4.386900       |-7.979200      |2.040238       |12.346530      |5.537797       |2.040238       |
|40  |7.802000       |-6.495800      |2.013431       |15.213427      |9.245456       |2.013431       |
|41  |7.075400       |-8.220500      |0.696208       |14.956835      |8.106260       |0.696208       |
|42  |-9.022800      |-3.282600      |16.144356      |1.924050       |10.256415      |1.924050       |
|43  |-0.857100      |-9.523100      |7.448620       |8.698842       |0.075764       |0.075764       |
|44  |5.864500       |-8.925800      |1.111929       |14.071820      |6.812908       |1.111929       |
|45  |5.187500       |-8.818000      |1.503767       |13.406920      |6.151467       |1.503767       |
|46  |-0.909500      |-8.148900      |7.338862       |7.764042       |1.419210       |1.419210       |
|47  |6.713100       |-8.134200      |0.331438       |14.585914      |7.764708       |0.331438       |
|48  |9.933500       |-9.287600      |3.746947       |18.006146      |10.855189      |3.746947       |
|49  |6.162800       |-7.571500      |0.475437       |13.889271      |7.356969       |0.475437       |
|50  |6.315400       |-9.473200      |1.510632       |14.703287      |7.234087       |1.510632       |
|51  |-7.874500      |-1.283000      |15.786312      |2.321042       |10.818254      |2.321042       |
|52  |-6.874700      |-2.833600      |14.257862      |0.681600       |8.990816       |0.681600       |
|53  |-6.676500      |-2.734400      |14.109618      |0.856351       |8.936376       |0.856351       |
|54  |-2.002900      |-7.940900      |8.430039       |6.783718       |1.955657       |1.955657       |
|55  |7.647100       |-7.450500      |1.324713       |15.281838      |8.823050       |1.324713       |
|56  |7.362000       |-8.117200      |0.946936       |15.197012      |8.406220       |0.946936       |
|57  |-6.897100      |-2.551600      |14.382547      |0.946194       |9.218455       |0.946194       |
|58  |-0.443700      |-9.199900      |6.980592       |8.786552       |0.600484       |0.600484       |
|59  |9.291000       |-8.984000      |3.039213       |17.300217      |10.225759      |3.039213       |
|60  |5.910800       |-8.677200      |0.878278       |14.020366      |6.886731       |0.878278       |
|61  |-7.677200      |-3.577600      |14.771442      |0.578283       |9.031711       |0.578283       |
|62  |-0.959600      |-9.009400      |7.459930       |8.273320       |0.560226       |0.560226       |
|63  |6.429100       |-10.203900     |2.237198       |15.117982      |7.374625       |2.237198       |
|64  |-6.581000      |-3.469700      |13.763492      |0.527303       |8.322207       |0.527303       |
|65  |-7.838300      |-2.170900      |15.397824      |1.493584       |10.129560      |1.493584       |
|66  |-7.123100      |-1.921400      |14.837574      |1.552596       |9.847550       |1.552596       |
|67  |-7.852000      |-3.450900      |14.976154      |0.744070       |9.246589       |0.744070       |
|68  |-0.627900      |-9.812300      |7.292411       |9.064789       |0.379258       |0.379258       |
|69  |5.386700       |-6.649800      |1.678293       |12.892279      |6.947405       |1.678293       |
|70  |7.660400       |-6.311700      |2.063992       |15.038852      |9.175734       |2.063992       |
|71  |-7.909800      |-3.352000      |15.061281      |0.810734       |9.355430       |0.810734       |
|72  |-8.651500      |-4.731900      |15.421677      |1.990982       |9.121113       |1.990982       |
|73  |-8.026900      |-3.227700      |15.211057      |0.951041       |9.525545       |0.951041       |
|74  |-1.473600      |-9.195700      |7.995717       |8.030467       |0.668797       |0.668797       |
|75  |-0.698700      |-9.955900      |7.398238       |9.115854       |0.445558       |0.445558       |
|76  |-6.995200      |-4.866100      |13.775771      |1.396760       |7.683764       |1.396760       |
|77  |6.876400       |-8.667700      |0.832627       |14.918001      |7.846296       |0.832627       |
|78  |-0.740800      |-8.796500      |7.215771       |8.299077       |0.791685       |0.791685       |
|79  |6.887500       |-7.571800      |0.606561       |14.583368      |8.056798       |0.606561       |
|80  |-1.769200      |-8.778000      |8.236355       |7.525892       |1.161320       |1.161320       |
|81  |-6.893200      |-3.381500      |14.087387      |0.234103       |8.600934       |0.234103       |
|82  |-7.566000      |-3.383900      |14.724433      |0.466483       |9.079602       |0.466483       |
|83  |-8.416200      |-4.395700      |15.266814      |1.600096       |9.109094       |1.600096       |
|84  |-6.619400      |-2.863600      |14.009026      |0.781989       |8.800871       |0.781989       |
|85  |-2.422100      |-8.648100      |8.875395       |6.980861       |1.763092       |1.763092       |
|86  |-0.271000      |-10.402500     |7.127247       |9.734148       |1.055909       |1.055909       |
|87  |-5.777400      |-3.193300      |13.104778      |1.360150       |8.015673       |1.360150       |
|88  |5.504000       |-8.837100      |1.268741       |13.705233      |6.463532       |1.268741       |
|89  |-1.366600      |-7.164900      |7.834836       |6.825706       |2.444683       |2.444683       |
|90  |7.599000       |-6.967100      |1.540310       |15.116433      |8.905364       |1.540310       |
|91  |-7.787700      |-1.670800      |15.546670      |1.926879       |10.467043      |1.926879       |
|92  |-6.604700      |-5.177300      |13.326987      |1.776256       |7.184484       |1.776256       |
|93  |-0.434900      |-11.570700     |7.750860       |10.492466      |2.060078       |2.060078       |
|94  |-0.862200      |-8.381600      |7.301098       |7.943479       |1.187798       |1.187798       |
|95  |-0.684900      |-10.589700     |7.580281       |9.586143       |1.047886       |1.047886       |
|96  |-2.141300      |-10.272600     |8.873254       |8.419794       |1.411612       |1.411612       |
|97  |-0.470900      |-8.946400      |6.967224       |8.602492       |0.765798       |0.765798       |
|98  |-1.976000      |-10.299300     |8.720843       |8.539678       |1.286042       |1.286042       |
|99  |5.115100       |-6.774700      |1.772629       |12.661212      |6.648464       |1.772629       |
|100 |-2.111800      |-8.994300      |8.600510       |7.445765       |1.324474       |1.324474       |

|C1  |6.427100       |-7.966703      |6.427100       |-7.966703      |
|C2  |-7.108286      |-3.473925      |-7.445129      |-3.253032      |
|C3  |-0.918065      |-9.568084      |-0.946179      |-9.426327      |

ITERACION 4
|ID  |X              |Y              |C1             |C2             |C3             |MIN            |
|1   |5.257800       |-8.108500      |1.177866       |13.599264      |6.342399       |1.177866       |
|2   |7.630600       |-4.265500      |3.891955       |15.109689      |10.009759      |3.891955       |
|3   |-8.007100      |-2.526100      |15.425508      |0.918826       |9.872677       |0.918826       |
|4   |-0.095100      |-9.780700      |6.769762       |9.830228       |0.921908       |0.921908       |
|5   |4.665000       |-7.307200      |1.881473       |12.770729      |5.998002       |1.881473       |
|6   |4.655100       |-9.015200      |2.058963       |13.402169      |5.616347       |2.058963       |
|7   |-7.543100      |-4.265300      |14.452227      |1.016998       |8.375892       |1.016998       |
|8   |-0.857300      |-9.621200      |7.469929       |9.162590       |0.214184       |0.214184       |
|9   |5.611100       |-6.690300      |1.514946       |13.501109      |7.105192       |1.514946       |
|10  |-6.723200      |-2.446600      |14.261905      |1.082366       |9.060384       |1.082366       |
|11  |-6.752600      |-2.633200      |14.217973      |0.929403       |8.936504       |0.929403       |
|12  |-2.294800      |-10.202000     |9.003782       |8.649511       |1.555779       |1.555779       |
|13  |-7.022500      |-4.385800      |13.918139      |1.209040       |7.894846       |1.209040       |
|14  |6.300300       |-7.632100      |0.357823       |14.426124      |7.465300       |0.357823       |
|15  |-5.991800      |-4.272400      |12.956734      |1.775184       |7.212576       |1.775184       |
|16  |-6.976100      |-2.575800      |14.446716      |0.823791       |9.126318       |0.823791       |
